Function;IntraBucket;InterBucket;Frequency
"nsStreamLoader::OnStopRequest(nsIRequest *,nsISupports *,unsigned int)";0,00064;0;1
"__fnDWORD";0,01546;0,00314;15
"DispatchMessageWorker";0,02255;0,00096;6
"NS_ConvertUTF8toUTF16::NS_ConvertUTF8toUTF16(char const *)";0;0;45
"nsIDOMCSSStyleDeclaration_GetPropertyValue_tn";0,00032;0;1
"nsScriptLoader::ProcessPendingRequests()";0,00064;0;1
"BaseThreadStart";0,99936;0,28151;94
"nsDisplayText::Paint(nsDisplayListBuilder *,nsIRenderingContext *)";0,00387;0;3
"mozilla::layers::BasicLayerManager::PaintLayer(mozilla::layers::Layer *,void (*)(mozilla::layers::ThebesLayer *,gfxContext *,nsIntRegion const &amp;,nsIntRegion const &amp;,void *),void *,float)";0,00387;0,00393;18
"NdrpSendReceive";0,00999;0;1
"RtlpWorkerThread";0,0145;0,00009;2
"_PR_MD_WAIT";0,01418;0;1
"NtClose";0,03254;0,00026;4
"nsBidiPresUtils::ProcessText(unsigned short const *,int,nsBidiDirection,nsPresContext *,nsBidiPresUtils::BidiProcessor &amp;,nsBidiPresUtils::Mode,nsBidiPositionResolve *,int,int *)";0,00387;0;4
